1,AL-FATIHAH,PEMBUKAAN,7
2,AL-BAQARAH,SAPI BETINA,286
3,ALI IMRAN,KELUARGA IMRAN,200
4,ANNISA,WANITA,176
5,AL-MA`IDAH,HIDANGAN,120
6,AL-AN'AM,BINATANG TERNAK,165
7,AL-A'RAF,TEMPAT TERTINGGI,206
8,AL-ANFAL,RAMPASAN PERANG,75
9,ATTAUBAH,PENGAMPUNAN,129
10,YUNUS,NABI YUNUS,109
11,HUD,NABI HUD,123
12,YUSUF,NABI YUSUF,111
13,ARRA'DU,GURUH,43
14,IBRAHIM,NABI IBRAHIM,52
15,AL-HIJRU,DAERAH HIJIR,99
16,ANNAHLU,LEBAH,128
17,AL-ISRA,PERJALANAN DI MALAM HARI,111
18,AL-KAHFI,GUA,110
19,MARYAM,SITI MARYAM,98
20,TOHA,TOHA,135
21,AL-ANBIYA,NABI-NABI,112
22,AL-HAJJ,HAJI,78
23,AL-MU`MINUN,ORANG-ORANG YANG BERIMAN,118
24,ANNUR,CAHAYA,64
25,AL-FURQAN,PEMBEDA,77
26,ASY-SYU'ARA,PENYAIR-PENYAIR,227
27,ANNAMLU,SEMUT,93
28,AL-QASHASH,KISAH-KISAH,88
29,AL-'ANKABUT,LABA-LABA,69
30,ARRUM,BANGSA RUM,60
31,LUQMAN,LUQMAN,34
32,ASSAJDAH,SUJUD,30
33,AL-AHZAB,GOLONGAN YANG BERSEKUTU,73
34,SABA`,NEGERI SABA,54
35,FATHIR,PENCIPTA,45
36,YASIN,YASIN,83
37,ASH-SHAFFAT,YANG BERBARIS,182
38,SHAD,SHAD,88
39,AZZUMAR,ROMBONGAN-ROMBONGAN,75
40,AL-MU`MIN,ORANG BERIMAN,85
41,FUSHSHILAT,YANG DIJELASKAN,54
42,ASY-SYURA,MUSYAWARAH,53
43,AZZUKHRUF,PERHIASAN,89
44,ADDUKHAN,KABUT,59
45,AL-JATSIYAH,YANG BERLUTUT,37
46,AL-AHQAF,BUKIT-BUKIT PASIR,35
47,MUHAMMAD,NABI MUHAMMAD,38
48,AL-FATHU,KEMENANGAN,29
49,AL-HUJURAT,KAMAR-KAMAR,18
50,QAF,QAF,45
51,ADZ-DZARIYAT,ANGIN YANG MENERBANGKAN,60
52,ATH-THUR,BUKIT THUR,49
53,ANNAJMU,BINTANG,62
54,AL-QAMAR,BULAN,55
55,ARRAHMAN,MAHA PEMURAH,78
56,AL-WAQI'AH,HARI KIAMAT,96
57,AL-HADID,BESI,29
58,AL-MUJADILAH,WANITA YANG MENGAJUKAN GUGATAN,22
59,AL-HASYR,PENGUSIRAN,24
60,AL-MUMTAHANAH,PEREMPUAN YANG DIUJI,13
61,ASH-SHAF,BARISAN,14
62,AL-JUMU'AH,HARI JUM'AT,11
63,AL-MUNAFIQUN,ORANG-ORANG MUNAFIK,11
64,ATTAGHABUN,HARI DITAMPAKKAN,18
65,ATH-THALAQ,TALAQ,12
66,ATTAHRIM,MENGAHARAMKAN,12
67,AL-MULKU,KERAJAAN,30
68,AL-QALAM,QOLAM,52
69,AL-HAQQAH,HARI KIAMAT,52
70,AL-MA'ARIJ,TEMPAT-TEMPAT NAIK,44
71,NUH,NABI NUH,28
72,AL-JINN,JIN,28
73,AL-MUZAMMIL,ORANG-ORANG BERSELIMUT,20
74,AL-MUDDATS-TSIR,ORANG YANG BERKEMUL,56
75,AL-QIYAMAH,HARI KIAMAT,40
76,AL-INSAN,MANUSIA,31
77,AL-MURSALAT,MALAIKAT YANG DIUTUS,50
78,ANNABA`,BERITA,40
79,ANNAZI'AT,MALAIKAT YANG MENCABUT,46
80,'ABASA,BERMUKA MASAM,42
81,ATTAKWIR,MENGGULUNG,29
82,AL-INFITHAR,TERBELAH,19
83,ATTATHFIF,KECURANGAN,36
84,AL-INSYIQAQ,TERBELAH,25
85,AL-BURUJ,GUGUSAN BINTANG,22
86,ATH-THARIQ,YANG DATANG DI MALAM HARI,17
87,AL-A'LA,YANG PALING TINGGI,19
88,AL-GHASYIYAH,HARI PEMBALASAN,26
89,AL-FAJR,FAJAR,30
90,AL-BALAD,NEGERI,20
91,ASY-SYAMSU,MATAHARI,15
92,AL-LAIL,MALAM,21
93,ADH-DHUHA,WAKTU DUHA,11
94,AL-INSYIRAH,KELAPANGAN,8
95,ATTIN,BUAH TIN,8
96,AL-'ALAQ,SEGUMPAL DARAH,19
97,AL-QADAR,KEMULIAAN,5
98,AL-BAYYINAH,BUKTI,8
99,AZZILZAL,KEGONCANGAN,8
100,AL-'ADIYAT,KUDA PERANG YANG BERLARI KENCANG,11
101,AL-QARI'AH,HARI KIAMAT,11
102,ATTAKATSUR,BERMEGAH-MEGAHAN,8
103,AL-'ASHR,WAKTU,3
104,AL-HUMAZAH,PENGUMPAT,9
105,AL-FIL,GAJAH,5
106,QURAISY,SUKU QURAISY,4
107,AL-MA'UN,BARANG-BARANG YANG BERGUNA,7
108,AL-KAUTSAR,NIKMAT YANG BESAR,3
109,AL-KAFIRUN,ORANG-ORANG KAFIR,6
110,ANNASHRU,PERTOLONGAN,3
111,ALLAHAB,GEJOLAK API,5
112,AL-IKHLASH,PEMURNIAN KEESAAN ALLAH,4
113,AL-FALAQ,WAKTU SHUBUH,5
114,ANNAS,MANUSIA,6
